name,fold,label
1000.wav,1,1
1001.wav,1,1
1002.wav,1,1
1003.wav,1,1
1004.wav,1,1
1005.wav,1,1
1006.wav,1,1
1007.wav,1,1
1008.wav,1,1
1009.wav,1,1
1010.wav,1,1
1011.wav,1,1
1012.wav,1,1
1013.wav,1,1
1014.wav,1,1
1015.wav,1,1
1016.wav,1,1
1017.wav,1,1
1018.wav,1,1
1019.wav,1,1
1020.wav,1,1
1021.wav,1,1
1022.wav,1,1
1023.wav,1,1
1024.wav,1,1
1025.wav,1,1
1026.wav,1,1
1027.wav,1,1
1028.wav,1,1
1029.wav,1,1
1030.wav,1,1
1031.wav,1,1
1032.wav,1,1
1033.wav,1,1
1034.wav,1,1
1035.wav,1,1
1036.wav,1,1
1037.wav,1,1
1038.wav,1,1
1039.wav,1,1
1040.wav,1,1
1041.wav,1,1
1042.wav,1,1
1043.wav,1,1
1044.wav,1,1
1045.wav,1,1
1046.wav,1,1
1047.wav,1,1
1048.wav,1,1
1049.wav,1,1
1050.wav,1,1
1051.wav,1,1
1052.wav,1,1
1053.wav,1,1
1054.wav,1,1
1055.wav,1,1
1056.wav,1,1
1057.wav,1,1
1058.wav,1,1
1059.wav,1,1
1060.wav,1,1
1061.wav,1,1
1062.wav,1,1
1063.wav,1,1
1064.wav,1,1
1065.wav,1,1
1066.wav,1,1
1067.wav,1,1
1068.wav,1,1
1069.wav,1,1
1070.wav,1,1
1071.wav,1,1
1072.wav,1,1
1073.wav,1,1
1074.wav,1,1
1075.wav,1,1
1076.wav,1,1
1077.wav,1,1
1078.wav,1,1
1079.wav,1,1
1080.wav,1,1
1081.wav,1,1
1082.wav,1,1
1083.wav,1,1
1084.wav,1,1
1085.wav,1,1
1086.wav,1,1
1087.wav,1,1
1088.wav,1,1
1089.wav,1,1
1090.wav,1,1
1091.wav,1,1
1092.wav,1,1
1093.wav,1,1
1094.wav,1,1
1095.wav,1,1
1096.wav,1,1
1097.wav,1,1
1098.wav,1,1
1099.wav,1,1
1100.wav,1,1
1101.wav,1,1
1102.wav,1,1
1103.wav,1,1
1104.wav,1,1
1105.wav,1,1
1106.wav,1,1
1107.wav,1,1
1108.wav,1,1
1109.wav,1,1
1110.wav,1,1
1111.wav,1,1
1112.wav,1,1
1113.wav,1,1
1114.wav,1,1
1115.wav,1,1
1116.wav,1,1
1117.wav,1,1
1118.wav,1,1
1119.wav,1,1
1120.wav,1,1
1121.wav,1,1
1122.wav,1,1
1123.wav,1,1
1124.wav,1,1
1125.wav,1,1
1126.wav,1,1
1127.wav,1,1
1128.wav,1,1
1129.wav,1,1
1130.wav,1,1
1131.wav,1,1
1132.wav,1,1
1133.wav,1,1
1134.wav,1,1
1135.wav,1,1
1136.wav,1,1
1137.wav,1,1
1138.wav,1,1
1139.wav,1,1
1140.wav,1,1
1141.wav,1,1
1142.wav,1,1
1143.wav,1,1
1144.wav,1,1
1145.wav,1,1
1146.wav,1,1
1147.wav,1,1
1148.wav,1,1
1149.wav,1,1
1150.wav,1,1
1151.wav,1,1
1152.wav,1,1
1153.wav,1,1
1154.wav,1,1
1155.wav,1,1
1156.wav,1,1
1157.wav,1,1
1158.wav,1,1
1159.wav,1,1
1160.wav,1,1
1161.wav,1,1
1162.wav,1,1
1163.wav,1,1
1164.wav,1,1
1165.wav,1,1
1166.wav,1,1
1167.wav,1,1
1168.wav,1,1
1169.wav,1,1
1170.wav,1,1
1171.wav,1,1
1172.wav,1,1
1173.wav,1,1
1174.wav,1,1
1175.wav,1,1
1176.wav,1,1
1177.wav,1,1
1178.wav,1,1
1179.wav,1,1
1180.wav,1,1
1181.wav,1,1
1182.wav,1,1
1183.wav,1,1
1184.wav,1,1
1185.wav,1,1
1186.wav,1,1
1187.wav,1,1
1188.wav,1,1
1189.wav,1,1
1190.wav,1,1
1191.wav,1,1
1192.wav,1,1
1193.wav,1,1
1194.wav,1,1
1195.wav,1,1
1196.wav,1,1
1197.wav,1,1
1198.wav,1,1
1199.wav,1,1
1200.wav,1,1
1201.wav,1,1
1202.wav,1,1
1203.wav,1,1
1204.wav,1,1
1205.wav,1,1
1206.wav,1,1
1207.wav,1,1
1208.wav,1,1
1209.wav,1,1
1210.wav,1,1
1211.wav,1,1
1212.wav,1,1
1213.wav,1,1
1214.wav,1,1
1215.wav,1,1
1216.wav,1,1
1217.wav,1,1
1218.wav,1,1
1219.wav,1,1
1220.wav,1,1
1221.wav,1,1
1222.wav,1,1
1223.wav,1,1
1224.wav,1,1
1225.wav,1,1
1226.wav,1,1
1227.wav,1,1
1228.wav,1,1
1229.wav,1,1
1230.wav,1,1
1231.wav,1,1
1232.wav,1,1
1233.wav,1,1
1234.wav,1,1
1235.wav,1,1
1236.wav,1,1
1237.wav,1,1
1238.wav,1,1
1239.wav,1,1
1240.wav,1,1
1241.wav,1,1
1242.wav,1,1
1243.wav,1,1
1244.wav,1,1
1245.wav,1,1
1246.wav,1,1
1247.wav,1,1
1248.wav,1,1
1249.wav,1,1
1250.wav,1,1
1251.wav,1,1
1252.wav,1,1
1253.wav,1,1
1254.wav,1,1
1255.wav,1,1
1256.wav,1,1
1257.wav,1,1
1258.wav,1,1
1259.wav,1,1
1260.wav,1,1
1261.wav,1,1
1262.wav,1,1
1263.wav,1,1
1264.wav,1,1
1265.wav,1,1
1266.wav,1,1
1267.wav,1,1
1268.wav,1,1
